path	line	message
src/Aevatar.AI.Core/Routing/EventRoute.cs	68	empty broad catch block
src/Aevatar.AI.Core/Tools/TextToolCallParser.cs	169	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoDiffTool.cs	64	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoFileEditTool.cs	74	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoFileReadTool.cs	67	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoFileWriteTool.cs	60	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoGlobTool.cs	51	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoGrepTool.cs	65	empty broad catch block
src/Aevatar.AI.ToolProviders.ChronoStorage/Tools/ChronoTreeTool.cs	70	empty broad catch block
src/Aevatar.AI.ToolProviders.ServiceInvoke/Schema/EndpointSchemaProvider.cs	92	broad catch returns null without visible failure signal
src/Aevatar.AI.ToolProviders.ServiceInvoke/Schema/EndpointSchemaProvider.cs	153	empty broad catch block
src/Aevatar.AI.ToolProviders.ServiceInvoke/Tools/ListServicesTool.cs	157	empty broad catch block
src/Aevatar.AI.ToolProviders.Skills/SkillScriptExtractor.cs	119	empty broad catch block
src/Aevatar.CQRS.Core.Abstractions/Streaming/EventSinkProjectionLeaseOrchestrator.cs	47	empty broad catch block
src/Aevatar.CQRS.Core.Abstractions/Streaming/EventSinkProjectionLeaseOrchestrator.cs	59	empty broad catch block
src/Aevatar.Foundation.Abstractions/Observability/AevatarActivitySource.cs	248	empty broad catch block
src/Aevatar.Foundation.Abstractions/Observability/AevatarActivitySource.cs	263	empty broad catch block
src/Aevatar.Foundation.Abstractions/Observability/AevatarActivitySource.cs	275	broad catch returns null without visible failure signal
src/Aevatar.Foundation.Abstractions/Observability/AevatarActivitySource.cs	328	broad catch returns null without visible failure signal
src/Aevatar.Foundation.Core/ExternalLinks/ManagedLink.cs	33	empty broad catch block
src/Aevatar.Foundation.Core/Pipeline/StaticHandlerAdapter.cs	50	broad catch returns null without visible failure signal
src/Aevatar.Foundation.Core/Pipeline/StaticHandlerAdapter.cs	67	broad catch returns null without visible failure signal
src/Aevatar.Foundation.Runtime/Streaming/InMemoryStreamProvider.cs	162	empty broad catch block
src/Aevatar.Foundation.Runtime/Streaming/InMemoryStreamProvider.cs	178	empty broad catch block
src/Aevatar.Scripting.Core/ScriptEvolutionSessionGAgent.cs	423	empty broad catch block
src/Aevatar.Scripting.Infrastructure/Compilation/CachedScriptBehaviorArtifactResolver.cs	295	empty broad catch block
src/Aevatar.Scripting.Infrastructure/Compilation/GrpcToolsScriptProtoCompiler.cs	131	empty broad catch block
src/Aevatar.Studio.Application/AppScopedScriptService.cs	404	empty broad catch block
src/Aevatar.Studio.Application/Studio/Services/ExecutionService.cs	270	empty broad catch block
src/Aevatar.Studio.Infrastructure/Storage/ChronoStorageMasterKeyResolver.cs	76	empty broad catch block
src/Aevatar.Studio.Infrastructure/Storage/ChronoStorageMasterKeyResolver.cs	102	empty broad catch block
src/Aevatar.Studio.Infrastructure/Storage/ChronoStorageMasterKeyResolver.cs	140	empty broad catch block
src/Aevatar.Studio.Infrastructure/Storage/ChronoStorageMasterKeyResolver.cs	156	broad catch returns null without visible failure signal
src/Aevatar.Studio.Infrastructure/Storage/ChronoStorageMasterKeyResolver.cs	174	broad catch returns null without visible failure signal
src/platform/Aevatar.GAgentService.Application/ScopeGAgents/ScopeGAgentActorTypeResolver.cs	27	empty broad catch block
src/platform/Aevatar.GAgentService.Hosting/Endpoints/ScopeGAgentEndpoints.cs	186	empty broad catch block
src/platform/Aevatar.GAgentService.Hosting/Endpoints/ScopeGAgentEndpoints.cs	213	empty broad catch block
src/platform/Aevatar.GAgentService.Projection/Orchestration/GAgentDraftRunObservationScopeActivationPort.cs	71	broad catch returns null without visible failure signal
src/platform/Aevatar.GAgentService.Projection/Orchestration/LlmSessionObservationScopeLeasePreparationPort.cs	47	broad catch returns null without visible failure signal
src/workflow/Aevatar.Workflow.Application/Runs/WorkflowRunFinalizeEmitter.cs	65	broad catch returns null without visible failure signal
src/workflow/Aevatar.Workflow.Application/Runs/WorkflowRunFinalizeEmitter.cs	81	broad catch returns null without visible failure signal
src/workflow/Aevatar.Workflow.Projection/Orchestration/WorkflowChatRunObservationScopeActivationPort.cs	46	broad catch returns null without visible failure signal
